trials.thisN,key_resp.rt (random),key_resp.rt (sequential)
0,0.8979316,1.2460106
1,0.6821195,0.3187976
2,0.6394046,0.3409893
3,0.4766433,0.3366649
4,0.772762,1.2383751
5,0.7952233,0.3387849
6,0.5664512,0.3452081
7,0.7542954,0.3293194
8,0.4113099,0.3730497
9,0.5557811,0.3081937
10,0.3888765,0.3635205
11,0.3885183,0.4235803
12,0.7488597,1.6384283
13,1.2160013,0.5953777
14,0.6362863,1.2487565
15,0.6503356,0.8955089
16,0.669391,1.2384635
17,0.5430221,1.1181346
18,0.4904544,0.7906094
19,0.5443041,0.3270446
20,0.6280111,0.5080126
21,0.6778826,0.6247692
22,0.4970277,1.0736458
23,0.4427451,0.8915912
24,0.4532625,0.8299409
25,0.498241,0.8443044
26,1.3905226,0.4441527
27,0.6485125,0.6709886
28,0.5850759,0.6466034
29,0.7306747,0.9011725
30,0.6296745,0.8777792
31,0.5318985,0.7031661
32,0.9605554,0.4343707
33,0.6961242,0.6267898
34,0.5876609,0.2728028
35,0.6510533,0.4287434
36,0.6074657,0.4753592
37,0.6008322,0.5421342
38,0.5148824,0.331021
39,0.5232328,0.5607446
40,0.5309073,0.459538
41,0.5078875,0.4177031
42,0.5646163,0.2741713
43,0.5777311,0.3765963
44,0.4541037,0.5906872
45,0.4197492,0.5408714
46,0.4817664,0.3373314
47,0.6700647,0.8672442
48,0.4372035,0.5451672
49,0.5948298,0.5086178
50,0.6007121,0.4849922
51,0.5245885,0.5368657
52,0.6859939,0.4948665
53,0.5411232,0.6023985
54,0.9098773,0.6700395
55,0.6317281,0.5081938
56,0.5720567,0.5052528
57,0.4971298,0.4393192
58,0.5598169,0.6260981
59,0.755259,0.5154763
60,0.4653998,0.4490737
61,0.5415712,0.4517187
62,0.4018608,0.3014789
63,0.8049891,0.4550322
64,0.8041861,0.5742003
65,0.4914351,0.4559284
66,0.6615346,0.3217681
67,0.582096,0.3922842
68,0.5640286,0.4433326
69,0.7747057,0.3708806
70,1.5264214,0.4629117
71,1.055747,0.5288838
72,1.0762389,0.6428075
73,1.510947,0.4348987
74,0.6932593,0.5063955
75,0.6559965,0.5217573
76,0.7937058,0.5784547
77,0.6315739,0.5472457
78,0.3746406,0.4180121
79,0.5839178,0.5264424
80,0.3836144,0.4253068
81,0.6256748,0.642501
82,0.6192439,0.7003281
83,0.6234238,0.553035
84,0.3762674,0.5147288
85,0.5219738,0.4776503
86,0.5228072,0.3832658
87,0.6137607,0.5554086
88,0.4575819,0.5916926
89,0.4166441,0.4606794
90,0.6577094,0.3859124
91,0.6102421,0.5367263
92,0.4762466,0.3530119
93,0.8499453,0.5731336
94,0.6147358,0.3454407
95,0.4787215,0.6156869
