staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,18.77366239999992,19.46375320000061,19.46375320000061,19.481401500000175,19.765086299999894,left,-10.0,1,1,1.4761766999999963,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
1,2,8.0,20.964637400000356,21.465087500000664,21.465087500000664,21.465087500000664,21.781672199999775,right,8.0,1,1,2.215240300000005,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
2,2,6.0,23.697761100000207,24.197593800000504,24.197593800000504,24.197593800000504,24.498104199999943,right,6.0,1,1,0.8136375000003682,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
3,2,4.0,25.031626400000277,25.531041000000187,25.531041000000187,25.547141900000497,25.83119230000011,right,4.0,1,1,1.6478670999995302,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
4,1,2.0,27.19821260000026,27.69716299999982,27.69716299999982,27.69716299999982,27.99936600000001,left,-2.0,0,0,7.2472861999995075,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
5,1,3.0,34.96267979999993,35.462032100000215,35.462032100000215,35.462032100000215,35.76241269999991,left,-3.0,0,0,1.01505619999989,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
6,1,4.0,36.49454100000003,36.995382099999915,36.995382099999915,36.995382099999915,37.29538370000046,left,-4.0,0,0,0.41216739999890706,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
7,1,5.0,37.4282245000004,37.927440899999965,37.927440899999965,37.927440899999965,38.22835740000028,left,-5.0,0,0,0.4302066999998715,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
8,1,6.0,38.378417800000534,38.87799510000059,38.87799510000059,38.87799510000059,39.17803080000067,left,-6.0,0,0,0.5625926999991862,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
9,1,7.0,39.46111850000034,39.96135709999999,39.96135709999999,39.96135709999999,40.26184199999989,left,-7.0,0,0,0.42893889999959356,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
10,1,8.0,40.41155549999985,40.91057350000028,40.91057350000028,40.91057350000028,41.211153600000216,right,8.0,1,1,0.3129033999994135,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
11,1,8.0,41.24382380000043,41.744246100000055,41.744246100000055,41.744246100000055,42.0436651,left,-8.0,1,1,1.038969599999291,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
12,1,8.0,42.80984739999985,43.310182900000655,43.310182900000655,43.310182900000655,43.61018090000016,right,8.0,1,1,0.8908280999994531,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
13,1,7.0,44.22679320000043,44.72659509999994,44.72659509999994,44.72659509999994,45.02689389999978,left,-7.0,1,1,1.1591407999994772,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
14,1,7.0,45.909538599999905,46.4097898,46.4097898,46.4097898,46.709658700000546,left,-7.0,1,1,1.0504202000001897,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
15,1,7.0,47.47615130000031,47.97571980000066,47.97571980000066,47.97571980000066,48.275856600000225,right,7.0,1,1,0.7711646999996447,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
16,1,6.0,48.77503800000068,49.276109800000086,49.276109800000086,49.276109800000086,49.57558860000063,left,-6.0,1,1,0.657007199999498,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
17,1,6.0,49.95813640000051,50.45872839999993,50.45872839999993,50.45872839999993,50.758312599999954,right,6.0,1,1,0.8100672999999006,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
18,1,6.0,51.29229470000064,51.79169180000008,51.79169180000008,51.79169180000008,52.09131690000049,right,6.0,1,1,0.6804377999997087,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
19,1,5.0,52.4889533000005,52.974219300000186,52.974219300000186,52.99089780000031,53.27471539999988,right,5.0,1,1,0.6023839999988923,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
20,0.5,5.0,53.607764000000316,54.10801460000039,54.10801460000039,54.10801460000039,54.40789450000011,left,-5.0,0,0,0.4864787999995315,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
21,0.5,5.5,54.62457150000046,55.12356129999989,55.12356129999989,55.12356129999989,55.42413940000006,right,5.5,1,1,0.5501207999996041,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
22,0.5,5.5,55.69089179999992,56.18993380000029,56.18993380000029,56.18993380000029,56.49038560000008,left,-5.5,0,0,0.46163459999934275,219555,001,2023-09-02_17h07.24.101,Adaptive staircase,2023.1.3,59.526148050933436,
