key_resp.keys,key_resp.corr,tilt,,hit ,miss,false alarm,correct rejection,,,,
down,0,0,,,1,,,,,,
up,0,-5,,,,1,,,,,
down,1,-4,,,,,1,,,Respond YES ,Respond NO
up,1,0,,1,,,,,Signal Present ,42,99
up,1,0,,1,,,,,Signal Absent,83,75
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-5,,,,1,,,prop hit ,0.29787234,
up,1,0,,1,,,,,prop fa ,0.525316456,
up,1,0,,1,,,,,,,
up,0,-2,,,,1,,,d-prime ,0.467028164,
up,0,3,,,,1,,,criterion ,0.562280558,
up,0,2,,,,1,,,,,
down,1,-4,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-2,,,,1,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
up,1,0,,1,,,,,,,
up,0,2,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,0,4,,,,1,,,,,
down,1,-4,,,,,1,,,,
up,0,4,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-3,,,,,1,,,,
down,1,4,,,1,,,,,,
down,1,3,,,,1,,,,,
up,1,0,,1,,,,,,,
up,0,-3,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-3,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,1,4,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,1,1,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,2,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,1,2,,,,1,,,,,
down,1,3,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,3,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,1,3,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-3,,,,,1,,,,
down,1,2,,,,1,,,,,
down,1,-5,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,1,1,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,1,1,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,,,,,,,
down,1,-5,,,,,1,,,,
down,1,2,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,1,2,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,2,,,,1,,,,,
down,1,3,,,,1,,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
up,1,0,,1,,,,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
up,1,0,,1,,,,,,,
down,1,-4,,,,,1,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,4,,,,1,,,,,
up,1,0,,1,,,,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
down,1,1,,,,1,,,,,
down,1,3,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,1,4,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-3,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
down,1,-4,,,,,1,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,1,-2,,,,,1,,,,
up,0,-4,,,,,1,,,,
down,1,4,,,,1,,,,,
up,0,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
up,0,2,,,,1,,,,,
down,1,4,,,,1,,,,,
down,0,0,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,1,3,,,,1,,,,,
down,0,0,,,,1,,,,,
down,0,0,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,,1,,,,,
down,1,2,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,1,-4,,,,,1,,,,
down,1,1,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
up,0,2,,,,1,,,,,
down,1,4,,,,1,,,,,
down,1,1,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,1,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,1,2,,,,1,,,,,
down,1,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,1,,,,,
down,1,-2,,,,,1,,,,
down,1,4,,,,1,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,0,4,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,1,,,,,
down,1,-3,,,,,1,,,,
down,1,2,,,,1,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-5,,,,,1,,,,
up,0,-4,,,,,1,,,,
up,1,0,,1,,,,,,,
up,0,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-5,,,,,1,,,,
up,1,0,,1,,,,,,,
up,0,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
